== border_detect Step1 边框探测：206 页
[371/1236] 30% border_detect_gate p165: 完成 0.11s
[372/1236] 30% border_detect_gate p166: 完成 0.11s
[373/1236] 30% border_detect_gate p167: 完成 0.12s
[374/1236] 30% border_detect_gate p168: 完成 0.12s
[375/1236] 30% border_detect_gate p169: 完成 0.11s
[376/1236] 30% border_detect_gate p170: 完成 0.11s
[377/1236] 30% border_detect_gate p171: 完成 0.10s
[378/1236] 30% border_detect_gate p172: 完成 0.10s
[379/1236] 30% border_detect_gate p173: 完成 0.10s
[380/1236] 30% border_detect_gate p174: 完成 0.10s
[381/1236] 30% border_detect_gate p175: 完成 0.10s
[382/1236] 30% border_detect_gate p176: 完成 0.11s
[383/1236] 30% border_detect_gate p177: 完成 0.10s
[384/1236] 31% border_detect_gate p178: 完成 0.11s
[385/1236] 31% border_detect_gate p179: 完成 0.10s
[386/1236] 31% border_detect_gate p180: 完成 0.10s
[387/1236] 31% border_detect_gate p181: 完成 0.11s
[388/1236] 31% border_detect_gate p182: 完成 0.11s
[389/1236] 31% border_detect_gate p183: 完成 0.10s
[390/1236] 31% border_detect_gate p184: 完成 0.11s
[391/1236] 31% border_detect_gate p185: 完成 0.10s
[392/1236] 31% border_detect_gate p186: 完成 0.10s
[393/1236] 31% border_detect_gate p187: 完成 0.10s
[394/1236] 31% border_detect_gate p188: 完成 0.11s
[395/1236] 31% border_detect_gate p189: 完成 0.10s
[396/1236] 32% border_detect_gate p190: 完成 0.11s
[397/1236] 32% border_detect_gate p191: 完成 0.11s
[398/1236] 32% border_detect_gate p192: 完成 0.11s
[399/1236] 32% border_detect_gate p193: 完成 0.10s
[400/1236] 32% border_detect_gate p194: 完成 0.10s
[401/1236] 32% border_detect_gate p195: 完成 0.11s
[402/1236] 32% border_detect_gate p196: 完成 0.11s
[403/1236] 32% border_detect_gate p197: 完成 0.11s
[404/1236] 32% border_detect_gate p198: 完成 0.11s
[405/1236] 32% border_detect_gate p199: 完成 0.10s
[406/1236] 32% border_detect_gate p200: 完成 0.11s
[407/1236] 32% border_detect_gate p201: 完成 0.13s
[408/1236] 33% border_detect_gate p202: 完成 0.12s
[409/1236] 33% border_detect_gate p203: 完成 0.10s
[410/1236] 33% border_detect_gate p204: 完成 0.11s
[411/1236] 33% border_detect_gate p205: 完成 0.10s
[412/1236] 33% border_detect_gate p206: 完成 0.11s
== column_warp Step2 单列射影 + 去噪 + 清理：206 页
[413/1236] 33% column_warp p1: 新鲜，跳过
[414/1236] 33% column_warp p2: 新鲜，跳过
[415/1236] 33% column_warp p3: 新鲜，跳过
[416/1236] 33% column_warp p4: 完成 0.16s
[417/1236] 33% column_warp p5: 完成 0.15s
[418/1236] 33% column_warp p6: 完成 0.14s
[419/1236] 33% column_warp p7: 完成 0.13s
[420/1236] 33% column_warp p8: 完成 0.14s
[421/1236] 34% column_warp p9: 完成 0.12s
[422/1236] 34% column_warp p10: 完成 0.13s
[423/1236] 34% column_warp p11: 完成 0.12s
[424/1236] 34% column_warp p12: 完成 0.12s
[425/1236] 34% column_warp p13: 完成 0.13s
[426/1236] 34% column_warp p14: 完成 0.13s
[427/1236] 34% column_warp p15: 完成 0.13s
[428/1236] 34% column_warp p16: 完成 0.13s
[429/1236] 34% column_warp p17: 完成 0.13s
[430/1236] 34% column_warp p18: 完成 0.14s
[431/1236] 34% column_warp p19: 完成 0.13s
[432/1236] 34% column_warp p20: 完成 0.13s
[433/1236] 35% column_warp p21: 完成 0.13s
[434/1236] 35% column_warp p22: 完成 0.13s
[435/1236] 35% column_warp p23: 完成 0.12s
[436/1236] 35% column_warp p24: 新鲜，跳过
[437/1236] 35% column_warp p25: 完成 0.13s
[438/1236] 35% column_warp p26: 完成 0.12s
[439/1236] 35% column_warp p27: 完成 0.13s
[440/1236] 35% column_warp p28: 完成 0.15s
[441/1236] 35% column_warp p29: 完成 0.13s
[442/1236] 35% column_warp p30: 完成 0.13s
[443/1236] 35% column_warp p31: 完成 0.13s
[444/1236] 35% column_warp p32: 完成 0.13s
[445/1236] 36% column_warp p33: 完成 0.12s
[446/1236] 36% column_warp p34: 完成 0.13s
[447/1236] 36% column_warp p35: 完成 0.14s
[448/1236] 36% column_warp p36: 完成 0.13s
[449/1236] 36% column_warp p37: 完成 0.13s
[450/1236] 36% column_warp p38: 完成 0.13s
[451/1236] 36% column_warp p39: 完成 0.25s
[452/1236] 36% column_warp p40: 完成 0.33s
[453/1236] 36% column_warp p41: 完成 0.35s
[454/1236] 36% column_warp p42: 完成 0.20s
[455/1236] 36% column_warp p43: 完成 0.35s
[456/1236] 36% column_warp p44: 完成 0.14s
[457/1236] 36% column_warp p45: 完成 0.15s
[458/1236] 37% column_warp p46: 完成 0.14s
[459/1236] 37% column_warp p47: 完成 0.13s
[460/1236] 37% column_warp p48: 完成 0.15s
[461/1236] 37% column_warp p49: 完成 0.15s
[462/1236] 37% column_warp p50: 完成 0.15s
[463/1236] 37% column_warp p51: 完成 0.15s
[464/1236] 37% column_warp p52: 完成 0.14s
[465/1236] 37% column_warp p53: 完成 0.14s
[466/1236] 37% column_warp p54: 完成 0.15s
[467/1236] 37% column_warp p55: 完成 0.13s
